# data set header
# non-radiated data sets
# energy, error, normalization
1096,  0.05, 1.0

# data set selection
# energy
# data points
#  nu      cross section   stat. error       syst. error
1096.0
 355.0   1.942000E+02   0.000000E+00   0.000000E+00
 356.0   1.937000E+02   0.000000E+00   0.000000E+00
 357.0   1.932000E+02   0.000000E+00   0.000000E+00
 358.0   1.926000E+02   0.000000E+00   0.000000E+00
 359.0   1.920000E+02   0.000000E+00   0.000000E+00
 360.0   1.913000E+02   0.000000E+00   0.000000E+00
 361.0   1.906000E+02   0.000000E+00   0.000000E+00
 362.0   1.899000E+02   0.000000E+00   0.000000E+00
 363.0   1.891000E+02   0.000000E+00   0.000000E+00
 364.0   1.883000E+02   0.000000E+00   0.000000E+00
 365.0   1.875000E+02   0.000000E+00   0.000000E+00
 366.0   1.866000E+02   0.000000E+00   0.000000E+00
 367.0   1.856000E+02   0.000000E+00   0.000000E+00
 368.0   1.847000E+02   0.000000E+00   0.000000E+00
 369.0   1.838000E+02   0.000000E+00   0.000000E+00
 370.0   1.828000E+02   0.000000E+00   0.000000E+00
 371.0   1.817000E+02   0.000000E+00   0.000000E+00
 372.0   1.807000E+02   0.000000E+00   0.000000E+00
 373.0   1.796000E+02   0.000000E+00   0.000000E+00
 374.0   1.785000E+02   0.000000E+00   0.000000E+00
 375.0   1.774000E+02   0.000000E+00   0.000000E+00
 376.0   1.763000E+02   0.000000E+00   0.000000E+00
 377.0   1.751000E+02   0.000000E+00   0.000000E+00
 378.0   1.739000E+02   0.000000E+00   0.000000E+00
 379.0   1.727000E+02   0.000000E+00   0.000000E+00
 380.0   1.715000E+02   0.000000E+00   0.000000E+00
 381.0   1.703000E+02   0.000000E+00   0.000000E+00
 382.0   1.691000E+02   0.000000E+00   0.000000E+00
 383.0   1.678000E+02   0.000000E+00   0.000000E+00
 384.0   1.665000E+02   0.000000E+00   0.000000E+00
 385.0   1.653000E+02   0.000000E+00   0.000000E+00
 386.0   1.640000E+02   0.000000E+00   0.000000E+00
 387.0   1.627000E+02   0.000000E+00   0.000000E+00
 388.0   1.614000E+02   0.000000E+00   0.000000E+00
 389.0   1.601000E+02   0.000000E+00   0.000000E+00
 390.0   1.587000E+02   0.000000E+00   0.000000E+00
 391.0   1.574000E+02   0.000000E+00   0.000000E+00
 392.0   1.562000E+02   0.000000E+00   0.000000E+00
 393.0   1.548000E+02   0.000000E+00   0.000000E+00
 394.0   1.535000E+02   0.000000E+00   0.000000E+00
 395.0   1.522000E+02   0.000000E+00   0.000000E+00
 396.0   1.507000E+02   0.000000E+00   0.000000E+00
 397.0   1.495000E+02   0.000000E+00   0.000000E+00
 398.0   1.481000E+02   0.000000E+00   0.000000E+00
 399.0   1.468000E+02   0.000000E+00   0.000000E+00
 400.0   1.455000E+02   0.000000E+00   0.000000E+00
 401.0   1.441000E+02   0.000000E+00   0.000000E+00
 402.0   1.428000E+02   0.000000E+00   0.000000E+00
 403.0   1.416000E+02   0.000000E+00   0.000000E+00
 404.0   1.401000E+02   0.000000E+00   0.000000E+00
 405.0   1.389000E+02   0.000000E+00   0.000000E+00
 406.0   1.376000E+02   0.000000E+00   0.000000E+00
 407.0   1.362000E+02   0.000000E+00   0.000000E+00
 408.0   1.350000E+02   0.000000E+00   0.000000E+00
 409.0   1.322000E+02   0.000000E+00   0.000000E+00
 410.0   1.310000E+02   0.000000E+00   0.000000E+00
 411.0   1.297000E+02   0.000000E+00   0.000000E+00
 412.0   1.284000E+02   0.000000E+00   0.000000E+00
 413.0   1.272000E+02   0.000000E+00   0.000000E+00
 414.0   1.260000E+02   0.000000E+00   0.000000E+00
 415.0   1.247000E+02   0.000000E+00   0.000000E+00
 416.0   1.236000E+02   0.000000E+00   0.000000E+00
 417.0   1.223000E+02   0.000000E+00   0.000000E+00
 418.0   1.211000E+02   0.000000E+00   0.000000E+00
 419.0   1.199000E+02   0.000000E+00   0.000000E+00
 420.0   1.188000E+02   0.000000E+00   0.000000E+00
 421.0   1.176000E+02   0.000000E+00   0.000000E+00
 422.0   1.165000E+02   0.000000E+00   0.000000E+00
 423.0   1.153000E+02   0.000000E+00   0.000000E+00
 424.0   1.142000E+02   0.000000E+00   0.000000E+00
 425.0   1.131000E+02   0.000000E+00   0.000000E+00
 426.0   1.120000E+02   0.000000E+00   0.000000E+00
 427.0   1.109000E+02   0.000000E+00   0.000000E+00
 428.0   1.098000E+02   0.000000E+00   0.000000E+00
 429.0   1.088000E+02   0.000000E+00   0.000000E+00
 430.0   1.077000E+02   0.000000E+00   0.000000E+00
 431.0   1.066000E+02   0.000000E+00   0.000000E+00
 432.0   1.056000E+02   0.000000E+00   0.000000E+00
 433.0   1.046000E+02   0.000000E+00   0.000000E+00
 434.0   1.036000E+02   0.000000E+00   0.000000E+00
 435.0   1.026000E+02   0.000000E+00   0.000000E+00
 436.0   1.016000E+02   0.000000E+00   0.000000E+00
 437.0   1.007000E+02   0.000000E+00   0.000000E+00
 438.0   9.970000E+01   0.000000E+00   0.000000E+00
 439.0   9.880000E+01   0.000000E+00   0.000000E+00
 440.0   9.780000E+01   0.000000E+00   0.000000E+00
 441.0   9.690000E+01   0.000000E+00   0.000000E+00
 442.0   9.600000E+01   0.000000E+00   0.000000E+00
 443.0   9.510000E+01   0.000000E+00   0.000000E+00
 444.0   9.420000E+01   0.000000E+00   0.000000E+00
 445.0   9.340000E+01   0.000000E+00   0.000000E+00
 446.0   9.250000E+01   0.000000E+00   0.000000E+00
 447.0   9.170000E+01   0.000000E+00   0.000000E+00
 448.0   9.090000E+01   0.000000E+00   0.000000E+00
 449.0   9.000000E+01   0.000000E+00   0.000000E+00
 450.0   8.930000E+01   0.000000E+00   0.000000E+00
 451.0   8.850000E+01   0.000000E+00   0.000000E+00
 452.0   8.770000E+01   0.000000E+00   0.000000E+00
 453.0   8.690000E+01   0.000000E+00   0.000000E+00
 454.0   8.610000E+01   0.000000E+00   0.000000E+00
 455.0   8.540000E+01   0.000000E+00   0.000000E+00
 456.0   8.470000E+01   0.000000E+00   0.000000E+00
 457.0   8.390000E+01   0.000000E+00   0.000000E+00
 458.0   8.320000E+01   0.000000E+00   0.000000E+00
 459.0   8.250000E+01   0.000000E+00   0.000000E+00
 460.0   8.180000E+01   0.000000E+00   0.000000E+00
 461.0   8.110000E+01   0.000000E+00   0.000000E+00
 462.0   8.040000E+01   0.000000E+00   0.000000E+00
 463.0   7.980000E+01   0.000000E+00   0.000000E+00
 464.0   7.910000E+01   0.000000E+00   0.000000E+00
 465.0   7.850000E+01   0.000000E+00   0.000000E+00
 466.0   7.780000E+01   0.000000E+00   0.000000E+00
 467.0   7.720000E+01   0.000000E+00   0.000000E+00
 468.0   7.660000E+01   0.000000E+00   0.000000E+00
